Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	6.076566696166992	1000	2000	71.43798481361598	71.43798481361598	2	2000
1	11.78890609741211	1000	3000	150.5886299909601	150.5886299909601	3	3000
2	17.402221202850342	1000	4000	150.5886299909601	79.48412941425343	4	4000
3	23.075863122940063	1000	5000	150.5886299909601	117.58047804925742	6	5000
4	28.878310680389404	1000	6000	150.5886299909601	88.00339885835724	7	6000
5	34.95852470397949	1000	7000	150.5886299909601	27.20241610849044	8	7000
6	40.89736986160278	1000	8000	150.5886299909601	141.81317452248487	9	8000
7	46.67990827560425	1000	9000	150.5886299909601	-2.809552817637455	12	9000
8	52.47557473182678	1000	10000	150.5886299909601	105.55844534684874	13	10000
9	58.36904215812683	1000	11000	150.5886299909601	95.50551243393421	14	11000
10	64.15350723266602	1000	12000	150.5886299909601	78.95912913658239	15	12000
11	69.82916855812073	1000	13000	150.5886299909601	56.99042773467652	16	13000
12	75.6518783569336	1000	14000	150.5886299909601	112.62552772786007	17	14000
13	81.47827792167664	1000	15000	150.5886299909601	140.25701599369194	18	15000
14	87.25917935371399	1000	16000	150.5886299909601	119.24564825734996	19	16000
15	93.13918924331665	1000	17000	150.5886299909601	85.61316145160234	20	17000
16	98.88755774497986	1000	18000	150.5886299909601	39.6982850817847	21	18000
17	104.65516209602356	1000	19000	150.5886299909601	138.48536890084952	22	19000
18	110.47623753547668	1000	20000	150.5886299909601	56.93744403448205	23	20000
19	116.20154476165771	1000	21000	150.5886299909601	7.753465504435	25	21000
20	121.86991882324219	1000	22000	150.5886299909601	87.11398587193094	26	22000
21	127.60810351371765	1000	23000	150.5886299909601	124.98813122069546	27	23000
22	133.38950991630554	1000	24000	150.5886299909601	-10.129830536236152	28	24000
23	139.12821769714355	1000	25000	150.5886299909601	124.23522759164611	29	25000
24	144.86421418190002	1000	26000	150.5886299909601	67.2046634969839	30	26000
25	150.58262038230896	1000	27000	150.5886299909601	-188.67055633556018	31	27000
26	156.3713116645813	1000	28000	150.5886299909601	-8.776810531639814	33	28000
27	162.14903283119202	1000	29000	150.5886299909601	106.04655774519208	34	29000
28	168.05724620819092	1000	30000	150.5886299909601	-111.86532782754499	35	30000
29	173.78322052955627	1000	31000	150.5886299909601	106.42259357905854	36	31000
30	179.52138900756836	1000	32000	171.6477355963944	171.6477355963944	37	32000
31	185.38811326026917	1000	33000	180.55062600952974	180.55062600952974	38	33000
