Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
398.7051134109497	0	-13.833142	7.720025	1.3227154	-79.56592	17.637272192827748	5.61215595819497	-0.784313	-0.784313	-0.7843121	-0.7843121	-0.69313323	0.0034087407	2.0563723e-05	4.041796e-06	0.69313526	30001	30001
799.728093624115	1	-5.479066	4.1467323	7.7071934	-39.730064	17.98860911270983	4.123017187364497	-0.30458528	-0.30458528	-0.30458507	-0.30458507	-0.6928786	0.0045445757	1.8854247e-05	1.1439481e-06	0.6928806	30005	60006
1192.754076719284	2	-4.5475454	5.58978	29.960608	-33.86876	23.38581449727202	10.230241943055175	-0.19445741	-0.19445741	-0.19429784	-0.19429784	-0.30739853	0.41253597	1.190069	0.37743974	0.42640543	30004	90010
1522.068962097168	3	-2.9598317	7.2734747	23.380043	-42.536163	27.336976320582878	11.726673111326711	-0.10827209	-0.10827209	-0.10812254	-0.10812254	-0.40175962	0.61229885	1.2397926	0.42036808	0.52573884	30016	120026
1768.5057227611542	4	-0.09247222	5.633972	20.819351	-23.497997	24.25626515763945	10.548719169052756	-0.0038123026	-0.0038123026	-0.0036881887	-0.0036881887	-0.44328752	0.5783129	1.268142	0.64831257	0.57010174	30005	150031
2074.5533452033997	5	2.0665965	5.8224897	20.135225	-22.098644	26.028620988725066	12.353146222814281	0.079397075	0.079397075	0.079517156	0.079517156	-0.46008912	0.71276456	1.2070333	0.5292842	0.5807925	30011	180042
2456.408758163452	6	4.0051856	8.352084	27.980639	-21.804348	34.57767548906789	17.023979801078685	0.11583154	0.11583154	0.11598056	0.11598056	-0.41074798	0.6126971	1.2477611	0.5353053	0.53552413	30048	210090
2866.9428296089172	7	5.0847616	8.368901	30.829224	-15.060704	36.209891435464414	16.690450701532914	0.14042467	0.14042467	0.1405147	0.1405147	-0.44395345	0.59624165	1.1442039	0.5142867	0.5583738	30018	240108
3273.9522681236267	8	6.8251815	8.011622	31.012127	-15.276231	31.91710945802338	11.92972401736187	0.21384083	0.21384083	0.21388675	0.21388675	-0.59287417	0.46745303	0.71583086	0.46333212	0.6644572	30034	270142
3651.843772649765	9	8.523083	7.572158	35.030926	-8.402131	31.089119170984457	10.724932732921669	0.27415004	0.27415004	0.2741942	0.2741942	-0.52533764	0.3818311	0.7306436	0.38649	0.59840196	30001	300143
4047.6558871269226	10	10.930661	8.147444	36.491196	-11.654561	33.949095022624434	11.567757757794157	0.32197207	0.32197207	0.32201287	0.32201287	-0.5319916	0.40874398	0.7177465	0.39029303	0.6037662	30011	330154
4445.209675073624	11	14.318335	9.595107	47.57954	-12.711259	38.47692307692308	16.26734122506024	0.37212792	0.37212792	0.37219265	0.37219265	-0.55724275	0.59785676	0.87550175	0.4312463	0.6447929	30012	360166
4858.943528175354	12	17.679104	11.5147085	57.575344	-15.033279	47.29291338582677	23.969058733115762	0.37382144	0.37382144	0.37392125	0.37392125	-0.4941545	0.62705564	1.1603731	0.5329411	0.6101918	30031	390197
5186.778908252716	13	22.937729	14.770301	74.639824	-11.476675	54.298372513562384	25.54589418729914	0.42243862	0.42243862	0.42256168	0.42256168	-0.38158607	0.5054779	1.2557527	0.33930853	0.5071613	30027	420224
