Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
2696.2381525039673	24	34.561424	8.178551	65.20035	8.284792	44.129411764705885	10.16847867075054	0.78318334	0.78318334	0.78448427	0.78448427	-0.34582022	0.426475	0.96343005	0.3324983	0.44216323	30008	750480
2824.8590970039368	25	29.519274	7.9235835	64.86648	7.3914614	38.31377551020408	10.265655740688903	0.77046114	0.77046114	0.77176267	0.77176267	-0.42986098	0.64231694	1.0641801	0.37732282	0.536279	30038	780518
2892.685891151428	26	31.60441	8.080818	61.11487	4.407137	39.65918097754293	9.799042137172625	0.7969002	0.7969002	0.79782164	0.79782164	-0.40328595	0.48447374	0.98787796	0.44341812	0.50207376	30022	810540
3009.69633936882	27	38.67163	10.144583	79.630325	8.119095	49.66115702479339	13.34262647704423	0.7787098	0.7787098	0.77979434	0.77979434	-0.48258713	0.55680376	0.987514	0.43318203	0.5813386	30045	840585
3148.069924354553	28	38.644665	10.201491	84.72908	7.377693	48.646677471636956	13.962961870456189	0.79439473	0.79439473	0.7951071	0.7951071	-0.51135933	0.47036278	0.7849101	0.44438145	0.5898503	30015	870600
3263.0115683078766	29	33.17771	9.313944	70.58295	9.720644	41.27922971114168	11.524050347340147	0.8037386	0.8037386	0.8044702	0.8044702	-0.47777012	0.47959846	0.84789497	0.46757308	0.56255966	30010	900610
3360.2452397346497	30	31.751635	8.893137	71.350685	8.017681	38.449423815620996	11.632620710088718	0.8258026	0.8258026	0.82675564	0.82675564	-0.47336578	0.55101824	0.9458607	0.45535263	0.56795186	30029	930639
3481.969562768936	31	35.29489	8.634624	86.68387	10.251495	41.37465564738292	12.198094828431394	0.8530557	0.8530557	0.8542826	0.8542826	-0.37165827	0.48922244	1.0199652	0.42094156	0.47365475	30038	960677
3593.4364919662476	32	42.23161	11.1570015	99.39967	10.378265	51.504288164665525	16.007381406236128	0.8199631	0.8199631	0.82203376	0.82203376	-0.3421477	0.58649194	1.1528349	0.3520652	0.45743117	30027	990704
3672.001466035843	33	44.26309	11.905717	105.985565	9.689538	52.7	17.41312773581644	0.8399068	0.8399068	0.8417453	0.8417453	-0.3127611	0.7297667	1.1884685	0.3037209	0.43160793	30039	1020743
3796.058381319046	34	39.752945	9.826619	104.20523	13.18242	44.45037037037037	12.50428592641309	0.89432204	0.89432204	0.89541405	0.89541405	-0.42658854	0.58268976	1.053112	0.36901107	0.5318997	30004	1050747
3915.329619884491	35	35.772873	9.064033	87.93289	14.291592	38.73548387096774	9.639085366431441	0.92351687	0.92351687	0.92467815	0.92467815	-0.41649783	0.5270168	0.95808667	0.38304844	0.5123065	30020	1080767
4023.7746567726135	36	36.098213	9.765449	84.11117	13.231393	38.87564766839378	11.82712600569635	0.9285559	0.9285559	0.93009347	0.93009347	-0.4349663	0.63222635	1.0772996	0.4090938	0.5426963	30012	1110779
4109.191170692444	37	42.170174	9.7898	96.24712	17.738337	43.75982532751092	12.067578466381303	0.96367323	0.96367323	0.9648322	0.9648322	-0.39067703	0.51896596	0.92737114	0.34350982	0.48341417	30063	1140842
4228.930211782455	38	43.511635	9.004927	91.31619	13.439744	45.18674698795181	13.385100249718755	0.9629293	0.9629293	0.9643421	0.9643421	-0.42313856	0.5252563	1.0626376	0.3346205	0.5294023	30004	1170846
4348.4440450668335	39	46.30061	9.48711	82.611984	13.286813	47.04068857589984	12.574593837078426	0.9842673	0.9842673	0.9857434	0.9857434	-0.3256104	0.48953232	1.0472196	0.2936143	0.43033233	30059	1200905
4461.092918634415	40	48.141476	9.611999	80.32703	12.970591	49.611570247933884	12.259165504088584	0.97036797	0.97036797	0.97199094	0.97199094	-0.33020854	0.4605432	1.0437654	0.3632829	0.4345851	30015	1230920
4560.101118564606	41	42.418198	8.304701	71.155396	17.869488	43.93411420204978	10.125279320413185	0.9654957	0.9654957	0.96693957	0.96693957	-0.41067296	0.68227464	1.1128926	0.33934072	0.5219623	30007	1260927
4681.556471586227	42	37.55346	7.8149033	62.683933	13.153684	38.23184713375796	7.595490098506121	0.98225594	0.98225594	0.98385453	0.98385453	-0.4779697	0.65973735	1.0315688	0.3305513	0.5811266	30012	1290939
4831.02060508728	43	56.25489	11.186386	88.62958	14.240351	59.049115913555994	13.652419210489445	0.9526795	0.9526795	0.95422196	0.95422196	-0.35515493	0.5682807	1.0212452	0.37595037	0.45727944	30056	1320995
4905.201776027679	44	62.54766	17.617914	108.72685	13.014609	70.28103044496487	21.25490858566608	0.88996506	0.88996506	0.8919955	0.8919955	-0.36234456	0.6250134	1.1396904	0.32059103	0.4763136	30010	1351005
5021.5031723976135	45	41.973225	6.4710426	66.18624	17.621141	40.33736559139785	6.410919913332262	1.0405544	1.0405544	1.0422628	1.0422628	-0.38008475	0.657584	1.0186266	0.32084855	0.48194742	30011	1381016
5155.926791191101	46	29.482733	6.66414	49.909412	11.975562	29.209143968871594	4.622525002583158	1.0093665	1.0093665	1.0109806	1.0109806	-0.36699682	0.6507912	1.0731726	0.33475628	0.4743141	30027	1411043
5274.4344000816345	47	47.29308	8.300924	81.38619	28.04767	44.962574850299404	8.871341227038508	1.0518321	1.0518321	1.0531805	1.0531805	-0.38810262	0.5579004	1.0109336	0.38769966	0.489196	30035	1441078
5383.052929162979	48	54.129513	8.977678	96.631584	29.906778	52.84507042253521	9.90201699089627	1.0243059	1.0243059	1.0255295	1.0255295	-0.40155697	0.5578508	1.0420895	0.43812492	0.5057659	30016	1471094
5489.207078456879	49	43.866516	7.4687743	64.69531	17.969824	41.14931506849315	6.478491776274196	1.0660328	1.0660328	1.0675955	1.0675955	-0.34132499	0.46177545	1.0235646	0.3842044	0.44368145	30039	1501133
5620.040169477463	50	36.09276	7.6940804	59.88957	14.299807	33.75928008998875	5.6690192678480456	1.069121	1.069121	1.0710889	1.0710889	-0.39831132	0.6017583	1.0913911	0.3692136	0.50745046	30012	1531145
5715.931543827057	51	43.609455	6.764587	62.197674	15.763683	41.94832402234637	6.5993786728052335	1.0395995	1.0395995	1.0418086	1.0418086	-0.38884017	0.72981334	1.1681972	0.30816364	0.5056599	30035	1561180
5840.3881113529205	52	47.09896	9.098381	75.18869	16.520412	47.09733124018838	9.186363303435872	1.0000347	1.0000347	1.0016465	1.0016465	-0.19194329	0.39208198	1.134539	0.30696505	0.3053972	30001	1591181
5970.811167240143	53	60.890022	10.944717	104.0677	11.813064	63.51797040169133	13.64733223251574	0.9586267	0.9586267	0.96044433	0.96044433	-0.29124326	0.5265928	1.1556848	0.41712868	0.40681174	30044	1621225
6090.885290384293	54	61.889477	9.244596	92.49048	12.679974	63.29957805907173	14.98729841385753	0.9777233	0.9777233	0.97952145	0.97952145	-0.2631069	0.48889747	1.1101	0.3814665	0.37411693	30004	1651229
6208.856731176376	55	52.222054	6.499651	78.66228	33.23089	49.11620294599018	9.38299028536801	1.0632348	1.0632348	1.065187	1.065187	-0.24907672	0.49838874	1.2043262	0.3498144	0.36950934	30010	1681239
6327.5270664691925	56	37.081303	7.2632303	57.883373	16.223454	33.983012457531146	5.790876683176236	1.0911717	1.0911717	1.0939207	1.0939207	-0.3264835	0.7472662	1.1023753	0.28937164	0.43672106	30007	1711246
6437.11899971962	57	35.766594	8.866553	63.352455	16.095436	33.40044493882091	7.194875186236535	1.0708417	1.0708417	1.0734025	1.0734025	-0.27461967	0.5880888	1.2046734	0.38527495	0.395087	30027	1741273
6532.562793731689	58	37.721947	7.0073757	61.499664	19.473389	34.238312428734325	5.98698633386693	1.1017467	1.1017467	1.1035352	1.1035352	-0.33784103	0.51751983	1.1318465	0.39903563	0.45102572	30027	1771300
6638.594242095947	59	44.891235	5.6564527	63.3051	28.068552	41.778859527121	5.838798658136232	1.0744965	1.0744965	1.0764679	1.0764679	-0.24163033	0.41992334	1.1700513	0.3753657	0.35863546	30039	1801339
6753.391942739487	60	45.85917	6.5668283	89.229935	30.436213	43.09756097560975	8.405553081272677	1.064078	1.064078	1.066803	1.066803	-0.1966928	0.37075755	1.1814792	0.36012697	0.31484073	30039	1831378
6855.63910651207	61	49.492664	7.310806	82.292305	30.883022	47.62698412698413	9.477905909446426	1.0391728	1.0391728	1.0414591	1.0414591	-0.1880503	0.3280372	1.1523573	0.31879184	0.30328602	30005	1861383
6962.03731751442	62	55.37975	7.5086493	80.7939	35.054615	54.88117001828154	9.099618897456907	1.0090846	1.0090846	1.0113122	1.0113122	-0.34548408	0.7487463	1.2064538	0.30325863	0.46612945	30020	1891403
7084.859039545059	63	52.792854	7.6787677	89.27125	34.190475	50.99151103565365	8.307028295904704	1.0353265	1.0353265	1.0379442	1.0379442	-0.18486935	0.5123038	1.1998293	0.35812867	0.30485228	30034	1921437
7189.093030452728	64	50.366837	8.644785	84.772	31.113495	48.19903691813804	8.856744618436123	1.044976	1.044976	1.0474944	1.0474944	-0.18586943	0.4109064	1.232741	0.283305	0.30914354	30028	1951465
7293.895770311356	65	43.89526	10.214831	78.31755	17.141212	42.334273624823695	10.743041645426551	1.0368727	1.0368727	1.0401316	1.0401316	-0.25685367	0.71261835	1.2013652	0.37001073	0.3769902	30015	1981480
7412.473792076111	66	44.872997	12.254178	92.63722	8.684659	45.150375939849624	15.327647750811439	0.99385655	0.99385655	0.99676496	0.99676496	-0.19218992	0.5118284	1.2411897	0.29177725	0.3163089	30025	2011505
7530.7837154865265	67	32.90596	15.3442955	102.85591	7.420937	35.80071599045346	18.479548121406197	0.91914254	0.91914254	0.9219476	0.9219476	-0.25584665	0.5434509	1.1470414	0.33645996	0.37055078	30001	2041506
7620.962837934494	68	23.44627	8.306502	83.52264	3.7271197	25.139028475711893	7.100081467496361	0.9326641	0.9326641	0.9351157	0.9351157	-0.20205712	0.59347206	1.1679412	0.2764369	0.31885123	30016	2071522
7731.78279542923	69	32.35556	11.141406	105.55217	9.111392	32.94840834248079	14.586378289518473	0.9820067	0.9820067	0.9843003	0.9843003	-0.22469953	0.40065062	1.1334708	0.35334396	0.3380466	30016	2101538
7833.200888633728	70	57.96634	13.133287	96.40197	24.255486	72.68280871670702	32.40540145473945	0.79752475	0.79752475	0.80048025	0.80048025	-0.12629832	0.29914162	1.162782	0.40771338	0.24257652	30018	2131556
7938.957648992538	71	70.00558	12.852864	108.0036	22.827509	77.52577319587628	21.031685856563627	0.90299755	0.90299755	0.9062132	0.9062132	-0.18891475	0.6597317	1.1871054	0.2898452	0.30762526	30080	2161636
8046.376558065414	72	70.096535	10.564884	99.72517	21.123959	69.3418013856813	12.927887877635644	1.0108843	1.0108843	1.0144819	1.0144819	-0.18890926	0.7283077	1.2126477	0.29399952	0.31017405	30025	2191661
8160.477965831757	73	66.46868	9.623095	86.044	19.60583	61.648870636550306	9.303126682770023	1.0781816	1.0781816	1.0813138	1.0813138	-0.14432666	0.41301733	1.1695232	0.32751566	0.261279	30023	2221684
8234.540692329407	74	60.012703	16.164904	81.614914	17.965445	62.02892561983471	13.71850977387687	0.96749544	0.96749544	0.9700618	0.9700618	-0.20882702	0.8469332	1.1687303	0.34353617	0.32570007	30022	2251706
8347.53843164444	75	53.593216	23.546635	101.199036	18.931904	63.745222929936304	23.022901307406926	0.8407409	0.8407409	0.84430736	0.84430736	-0.149732	0.5582288	1.1491303	0.23206675	0.26464504	30024	2281730
8446.276046276093	76	43.327324	22.082561	98.66585	17.986456	58.604288499025344	27.015361688932185	0.73932	0.73932	0.7426022	0.7426022	-0.09699063	0.39967284	1.103751	0.16853039	0.20736574	30064	2311794
8547.845323085785	77	41.233234	16.59114	76.559494	10.939493	66.98883928571429	30.671755278546218	0.61552393	0.61552393	0.61909103	0.61909103	-0.09097561	0.27301338	1.1370287	0.18620728	0.20467848	30011	2341805
8660.919389724731	78	42.877666	20.095293	88.12012	9.296264	76.67602040816327	38.05540585482033	0.5592057	0.5592057	0.5630938	0.5630938	-0.06216778	0.24979904	1.1881428	0.26153445	0.18098205	30057	2371862
8755.02007484436	79	55.796844	21.455374	101.69634	11.015987	78.57068062827226	33.8369818294617	0.7101484	0.7101484	0.7132512	0.7132512	-0.15747488	0.44630527	1.1547098	0.26821712	0.27294582	30014	2401876
8852.37180185318	80	56.74996	19.096964	118.30742	11.6580105	64.06609808102345	25.26114991463314	0.88580334	0.88580334	0.88837427	0.88837427	-0.17635496	0.5009426	1.2007294	0.26529124	0.29642794	30047	2431923
8965.401591062546	81	39.422802	16.229212	113.54444	9.987562	43.86695906432749	18.18379577438127	0.89869004	0.89869004	0.901726	0.901726	-0.108165726	0.33485472	1.2271111	0.3597849	0.23087683	30005	2461928
9064.427420139313	82	27.989294	13.581446	93.09102	9.862595	32.29354838709678	12.928457454009422	0.8667147	0.8667147	0.8700057	0.8700057	-0.10386533	0.54365975	1.2502667	0.27997524	0.228892	30033	2491961
9155.610909700394	83	30.421635	13.936681	87.596886	9.252054	33.8882618510158	13.940130691844335	0.8977041	0.8977041	0.90047896	0.90047896	-0.12585321	0.4360541	1.1961184	0.27487183	0.24546504	30025	2521986
9255.430683135986	84	45.790558	16.871132	119.13638	14.155585	50.22240802675585	23.865264907764907	0.91175556	0.91175556	0.9149303	0.9149303	-0.13296884	0.46423337	1.230073	0.27406153	0.25597617	30033	2552019
9351.837934494019	85	52.312737	18.048546	119.7901	15.710203	56.94307400379507	25.55962973410273	0.9186847	0.9186847	0.9214982	0.9214982	-0.14393623	0.5470916	1.180213	0.26632574	0.26195753	30009	2582028
9437.724173069	86	51.697258	17.33282	119.82441	13.669564	53.96582733812949	22.52474062320918	0.9579629	0.9579629	0.9607829	0.9607829	-0.13191727	0.4399428	1.1423725	0.23275664	0.24615452	30005	2612033
9524.264974594116	87	46.72068	15.123281	123.06759	17.05621	47.03291536050157	18.790142348965947	0.9933615	0.9933615	0.99603987	0.99603987	-0.14172319	0.48973966	1.1580055	0.3040297	0.25752375	30007	2642040
9626.948009967804	88	38.704277	14.893026	102.363235	14.625244	38.08375634517766	15.663031262384019	1.0162936	1.0162936	1.0190269	1.0190269	-0.17009214	0.5236501	1.2607116	0.40397608	0.2961633	30010	2672050
9722.907359838486	89	41.75402	19.025076	124.81566	15.493263	41.57340720221607	21.990510715332807	1.0043445	1.0043445	1.007014	1.007014	-0.19448502	0.55246484	1.2474608	0.31842017	0.3192311	30016	2702066
9816.98505449295	90	51.372868	22.86779	126.79767	10.466552	53.60606060606061	31.799616007780916	0.9583407	0.9583407	0.96111894	0.96111894	-0.14141451	0.40480962	1.1644874	0.27766412	0.25786325	30073	2732139
9908.403825998306	91	51.425568	22.13393	126.35438	9.533855	53.36767317939609	30.752576222480553	0.96360886	0.96360886	0.96623355	0.96623355	-0.15145154	0.42655134	1.1358826	0.26103106	0.2650398	30046	2762185
10005.298481702805	92	39.097862	16.078716	123.34072	15.51659	37.69221105527638	18.421011316572848	1.0372928	1.0372928	1.0397326	1.0397326	-0.16578731	0.46931162	1.1085471	0.3108594	0.27664202	30003	2792188
10106.783267736435	93	45.61012	17.887259	123.03373	11.726923	46.19384615384615	24.894780898339544	0.9873636	0.9873636	0.99012125	0.99012125	-0.12411335	0.58584136	1.2355096	0.26077336	0.2476643	30026	2822214
10175.686665058136	94	43.966156	17.927465	120.7273	11.705973	48.268488745980704	24.66255093489789	0.9108666	0.9108666	0.9145105	0.9145105	-0.1563048	0.5818382	1.2303073	0.24115282	0.27933556	30023	2852237
10279.47778749466	95	51.390896	16.979973	127.2458	13.601584	52.09027777777778	22.82478951906252	0.98657364	0.98657364	0.98908967	0.98908967	-0.21147007	0.6112458	1.0906425	0.2833042	0.32053432	30004	2882241
10371.29401087761	96	57.752705	24.054972	126.2766	14.7373705	63.30882352941177	33.510552801111544	0.9122378	0.9122378	0.91626143	0.91626143	-0.12833397	0.50389916	1.2733662	0.2711938	0.2556706	30135	2912376
10474.895738363266	97	56.027435	21.268394	121.82924	15.413775	60.733333333333334	29.90668314891668	0.92251545	0.92251545	0.92604595	0.92604595	-0.18245791	0.5246821	1.1439158	0.23487477	0.2968495	30063	2942439
10556.708240032196	98	40.348637	13.640983	88.596466	17.055328	38.766451612903225	14.966574704209743	1.0408133	1.0408133	1.0446608	1.0446608	-0.14422083	0.4277302	1.2172182	0.29913	0.26594263	30044	2972483
10652.656918048859	99	35.30053	8.967473	62.232533	17.032148	32.052350427350426	8.126565255479072	1.1013397	1.1013397	1.1041441	1.1041441	-0.120802715	0.44787008	1.1846557	0.24475908	0.2392683	30001	3002484
