Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	4.57431960105896	1000	2000	12.709145791607085	1.0785706119684622	109	2000
1	8.727444648742676	1000	3000	12.709145791607085	0.9162959989218518	162	3000
2	12.844743490219116	1000	4000	12.709145791607085	5.171727550537616	220	4000
3	16.936523914337158	1000	5000	12.709145791607085	1.64760576315457	273	5000
4	21.011877059936523	1000	6000	12.709145791607085	1.8175851740510551	329	6000
5	25.100526094436646	1000	7000	22.394830429866854	1.8764616295986336	381	7000
6	29.242106199264526	1000	8000	22.394830429866854	0.714970405392523	437	8000
7	33.32779049873352	1000	9000	22.394830429866854	-3.1089040546896287	489	9000
8	37.45628881454468	1000	10000	22.394830429866854	0.09767878873535674	546	10000
9	41.611207008361816	1000	11000	22.394830429866854	-1.491070822866459	599	11000
10	45.77445435523987	1000	12000	22.394830429866854	-0.8137095878832042	651	12000
11	49.95952081680298	1000	13000	22.394830429866854	0.49388073774462304	707	13000
12	54.11153745651245	1000	14000	22.394830429866854	-4.528089391328104	762	14000
13	58.405558824539185	1000	15000	22.394830429866854	0.2515139541559619	816	15000
14	62.64194107055664	1000	16000	22.394830429866854	-1.8286764156029678	873	16000
15	66.89777874946594	1000	17000	22.394830429866854	2.4201174027592067	928	17000
