Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
17.440701484680176	0	-0.4286022	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409629	-0.020409629	-0.020415472	-0.020415472	-0.694591	0.052681085	0.00028092467	0.0001501698	0.69461906	1008	1008
33.06301307678223	1	-0.4077486	0.08700162	-0.22799055	-0.6926959	21.0	0.0	-0.0194166	-0.0194166	-0.019655913	-0.019655913	-0.6901839	0.03835998	0.00013504925	0.00013096823	0.6901974	1008	2016
45.480467796325684	2	-0.42771348	0.09757117	-0.18851916	-0.6932478	21.0	0.0	-0.020367308	-0.020367308	-0.020593366	-0.020593366	-0.6957214	0.038983352	0.00064692285	0.00084943033	0.6957861	1008	3024
57.982540130615234	3	-0.42820343	0.08218362	-0.24242301	-0.6343646	21.0	0.0	-0.020390637	-0.020390637	-0.020149624	-0.020149624	-0.6978972	0.02680998	0.00029878964	0.0001865571	0.69792706	1008	4032
70.4821846485138	4	-0.42600846	0.08519935	-0.26479504	-0.6247926	21.0	0.0	-0.020286117	-0.020286117	-0.020356828	-0.020356828	-0.6939454	0.024587277	0.00020693435	0.00020595042	0.69396603	1008	5040
82.7947986125946	5	-0.39916897	0.06616084	-0.28881803	-0.5658623	21.0	0.0	-0.019008046	-0.019008046	-0.019153584	-0.019153584	-0.6927377	0.024527963	0.00042378172	0.00026754124	0.69278	1008	6048
95.01404047012329	6	-0.41825366	0.10215951	-0.17695256	-0.6616114	21.0	0.0	-0.019916844	-0.019916844	-0.019937154	-0.019937154	-0.693949	0.021594081	0.0005418422	0.0009384854	0.69400316	1008	7056
106.48535704612732	7	-0.40788317	0.09583293	-0.19225353	-0.64485544	21.0	0.0	-0.01942301	-0.01942301	-0.019352857	-0.019352857	-0.6953761	0.017988108	0.0002892719	0.00033425877	0.695405	1008	8064
118.4546103477478	8	-0.43010306	0.11642168	-0.25418878	-0.7625504	21.0	0.0	-0.020481098	-0.020481098	-0.020443456	-0.020443456	-0.69542724	0.032006197	0.0043187407	0.0051274863	0.69585913	1008	9072
130.60925555229187	9	-0.44886956	0.10207842	-0.21223006	-0.7296925	21.0	0.0	-0.02137474	-0.02137474	-0.017065616	-0.017065616	-0.6829816	0.1965544	0.18979187	0.18464625	0.7019608	1008	10080
142.21113204956055	10	-0.428501	0.102547996	-0.274903	-0.7521529	21.0	0.0	-0.020404808	-0.020404808	-0.018208917	-0.018208917	-0.68971765	0.13870934	0.12814745	0.14715417	0.7025325	1008	11088
153.68085527420044	11	-0.44515252	0.097819015	-0.29696447	-0.6724433	21.0	0.0	-0.02119774	-0.02119774	-0.019097837	-0.019097837	-0.67806745	0.1299196	0.094888836	0.093328044	0.6875564	1008	12096
165.5890336036682	12	-0.44176126	0.103045486	-0.27038115	-0.77409923	21.0	0.0	-0.02103625	-0.02103625	-0.01997648	-0.01997648	-0.67436016	0.111445844	0.0657051	0.062275607	0.6809306	1008	13104
177.27203249931335	13	-0.5165663	0.1069503	-0.29454154	-0.7838026	21.0	0.0	-0.024598394	-0.024598394	-0.017007161	-0.017007161	-0.65349746	0.26358122	0.30306163	0.22602773	0.6838037	1008	14112
188.66760230064392	14	-0.49577722	0.117255054	-0.32226536	-0.76911056	21.0	0.0	-0.023608439	-0.023608439	-0.016367745	-0.016367745	-0.6904537	0.2850804	0.2958985	0.18173075	0.72004354	1008	15120
200.18983364105225	15	-0.53150815	0.11591503	-0.27930036	-0.77517194	21.0	0.0	-0.025309915	-0.025309915	-0.017486993	-0.017486993	-0.63632584	0.25011393	0.26873523	0.19933859	0.6631993	1008	16128
210.31587553024292	16	-0.59134793	0.122872464	-0.30201676	-0.89238673	21.0	0.0	-0.028159427	-0.028159427	-0.018599879	-0.018599879	-0.63636523	0.32784465	0.39268285	0.3407168	0.67563355	1008	17136
217.60233783721924	17	-0.61199814	0.13156976	-0.35621992	-0.8708769	21.0	0.0	-0.029142767	-0.029142767	-0.018338846	-0.018338846	-0.6478133	0.3023526	0.3211524	0.24089906	0.67992866	1008	18144
223.65394234657288	18	0.9744105	5.46665	29.01117	-0.97807837	21.0	0.0	0.046400506	0.046400506	0.06284553	0.06284553	-0.61018	0.3363551	0.4088339	0.34980437	0.65106344	1008	19152
229.41544389724731	19	1.4132382	10.746449	69.03348	-1.1366353	21.0	0.0	0.06729706	0.06729706	0.07922595	0.07922595	-0.64907056	0.31812721	0.30996045	0.22330768	0.6800667	1008	20160
235.4198067188263	20	-0.2758058	2.8587024	19.30163	-0.94929975	21.0	0.0	-0.013133607	-0.013133607	0.0048401267	0.0048401267	-0.5621324	0.29169998	0.45238003	0.32696182	0.6073705	1008	21168
