Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2637.357630252838	34	38.223053	11.629637	97.55165	16.946733	43.56521739130435	18.032963585539086	0.8773755	0.8773755	0.8773755	0.8773755	30060	1050628
2712.1370589733124	35	38.108177	9.631295	101.45613	19.210854	42.30281690140845	13.969276870705176	0.9008424	0.9008424	0.9008424	0.9008424	30035	1080663
2790.7672469615936	36	39.62832	10.215703	84.700356	12.294235	42.76923076923077	12.678728815048808	0.9265615	0.9265615	0.9265615	0.9265615	30024	1110687
2865.879997253418	37	42.76287	12.591339	102.54183	12.535013	47.06269592476489	18.736645909607756	0.9086362	0.9086362	0.9086362	0.9086362	30026	1140713
2923.5158276557922	38	38.789936	9.067097	83.965775	14.482151	40.71815718157182	10.244264486511605	0.9526447	0.9526447	0.9526447	0.9526447	30050	1170763
3017.5851621627808	39	42.974438	10.776872	107.199875	15.61062	45.48260211800302	14.390125728906341	0.9448545	0.9448545	0.9448545	0.9448545	30064	1200827
3101.4160335063934	40	44.242535	10.628116	97.24368	16.886652	46.98748043818466	15.017668250846961	0.9415814	0.9415814	0.9415814	0.9415814	30025	1230852
3187.4636890888214	41	42.08812	8.103462	79.08548	22.264538	43.369942196531795	9.791562871414698	0.9704444	0.9704444	0.9704444	0.9704444	30012	1260864
3255.912244081497	42	40.846317	8.552593	69.54876	12.864628	41.64216366158114	9.016526529566383	0.9808885	0.9808885	0.9808885	0.9808885	30024	1290888
3309.6203768253326	43	47.53181	10.391202	105.11104	12.8954735	48.8130081300813	12.800247452826545	0.97375304	0.97375304	0.97375304	0.97375304	30020	1320908
3392.640477180481	44	40.351162	7.7533126	72.53737	20.529552	40.329301075268816	7.95605548411667	1.000542	1.000542	1.000542	1.000542	30005	1350913
3468.3694171905518	45	44.3507	9.386096	95.75005	16.419186	44.19734904270987	10.820503312762193	1.0034697	1.0034697	1.0034697	1.0034697	30010	1380923
3542.2063064575195	46	49.943485	12.999752	110.396774	14.222614	52.58844133099825	18.694159521024773	0.94970465	0.94970465	0.94970465	0.94970465	30028	1410951
3616.933961868286	47	32.87425	9.895465	80.701744	12.022911	32.2406015037594	7.997589947340258	1.0196537	1.0196537	1.0196537	1.0196537	30016	1440967
3681.44904589653	48	34.876823	9.528344	78.89781	12.965975	34.278538812785385	8.370013101908452	1.0174537	1.0174537	1.0174537	1.0174537	30028	1470995
3760.6114134788513	49	71.49245	14.851902	109.7879	9.048132	86.24425287356321	30.171551574982054	0.8289532	0.8289532	0.8289532	0.8289532	30013	1501008
3836.167697429657	50	78.53516	15.880953	118.45392	8.286295	113.78030303030303	34.29071665032711	0.6902351	0.6902351	0.6902351	0.6902351	30038	1531046
3909.0648324489594	51	58.52667	22.772688	113.57867	13.029709	74.53349875930522	26.621615583857107	0.78523976	0.78523976	0.78523976	0.78523976	30037	1561083
3995.4773828983307	52	71.80951	13.434289	110.30762	19.296032	86.98840579710145	28.098478664433394	0.8255066	0.8255066	0.8255066	0.8255066	30011	1591094
4074.6441717147827	53	60.886482	11.917212	97.14998	16.24912	64.62795698924731	14.904039761167144	0.9421075	0.9421075	0.9421075	0.9421075	30052	1621146
4147.72553563118	54	47.239902	8.247086	96.387726	16.003592	47.33596214511041	9.995854035114332	0.99797064	0.99797064	0.99797064	0.99797064	30011	1651157
4233.464729547501	55	40.235374	7.891891	92.960754	13.454839	38.75483870967742	8.761898406376488	1.0382025	1.0382025	1.0382025	1.0382025	30035	1681192
4321.9264895915985	56	25.926426	9.001576	56.83378	7.690009	28.068288119738074	7.439812439626326	0.92369103	0.92369103	0.92369103	0.92369103	30005	1711197
4401.321957826614	57	21.954708	7.600737	61.33747	9.103634	25.339527027027028	6.244018092419234	0.86642146	0.86642146	0.86642146	0.86642146	30002	1741199
4480.589050769806	58	42.980774	15.355141	119.73576	8.855419	49.10294117647059	20.290154841852335	0.8753198	0.8753198	0.8753198	0.8753198	30051	1771250
4546.57584810257	59	59.00189	19.893517	124.84872	9.866976	67.88939051918736	26.61325643195431	0.8690885	0.8690885	0.8690885	0.8690885	30075	1801325
4644.673115968704	60	61.470287	18.957754	129.11122	15.862658	65.36086956521739	26.405042982279543	0.9404753	0.9404753	0.9404753	0.9404753	30066	1831391
4718.788732767105	61	47.48811	12.461155	111.41243	19.569485	45.32628398791541	14.811990053103875	1.0476948	1.0476948	1.0476948	1.0476948	30006	1861397
4796.961858510971	62	39.05624	10.660195	96.640305	14.478561	36.73072215422277	9.188676368634486	1.0633128	1.0633128	1.0633128	1.0633128	30009	1891406
4884.860349416733	63	42.931484	9.55476	74.97147	14.793452	40.104138851802404	7.771595706535886	1.0705	1.0705	1.0705	1.0705	30038	1921444
4944.60889172554	64	52.08793	9.848138	103.12048	21.54054	49.6099173553719	11.14798580894664	1.0499499	1.0499499	1.0499499	1.0499499	30014	1951458
5028.976601839066	65	57.595364	9.827179	101.11128	35.06053	55.19117647058823	12.278936235949155	1.0435611	1.0435611	1.0435611	1.0435611	30024	1981482
5098.978246688843	66	53.72232	8.9902315	108.48436	24.890825	49.89700996677741	8.74990409230212	1.0766642	1.0766642	1.0766642	1.0766642	30038	2011520
5166.531692743301	67	51.245125	7.914364	75.21724	27.111153	45.33534743202417	6.5361593430577285	1.130357	1.130357	1.130357	1.130357	30012	2041532
5240.459238290787	68	46.087574	7.142683	79.42628	20.047657	39.77483443708609	5.901141639946301	1.1587119	1.1587119	1.1587119	1.1587119	30030	2071562
5308.148370981216	69	39.58522	7.023178	65.65873	16.62607	34.85249709639954	5.002701608254715	1.135793	1.135793	1.135793	1.135793	30008	2101570
5380.377539396286	70	40.43646	7.4222517	59.90442	20.563221	36.06730769230769	5.206115898775141	1.1211388	1.1211388	1.1211388	1.1211388	30008	2131578
5448.161484479904	71	55.261467	9.5767145	99.73693	19.715332	50.92881355932203	12.803138530043215	1.0850728	1.0850728	1.0850728	1.0850728	30048	2161626
5525.703387022018	72	64.255806	11.099294	110.14838	39.469593	62.59583333333333	16.097463029068344	1.0265188	1.0265188	1.0265188	1.0265188	30046	2191672
5607.694337844849	73	65.343666	13.233715	113.19353	35.667355	64.0	17.660745142166167	1.0209948	1.0209948	1.0209948	1.0209948	30016	2221688
5672.0013082027435	74	48.976574	10.098307	94.39206	20.113874	44.28171091445428	9.816997571587727	1.1060227	1.1060227	1.1060227	1.1060227	30023	2251711
5745.869232416153	75	40.3912	9.09291	82.60657	12.933507	35.6085409252669	6.917649689781315	1.1343122	1.1343122	1.1343122	1.1343122	30018	2281729
5823.152136087418	76	58.957397	8.144946	97.87908	16.191391	53.123893805309734	11.578537318297185	1.1098094	1.1098094	1.1098094	1.1098094	30015	2311744
5901.934061050415	77	66.88043	14.456625	113.39362	16.084236	65.85087719298245	18.40014895827403	1.0156347	1.0156347	1.0156347	1.0156347	30028	2341772
5982.161575078964	78	68.131256	15.776891	108.078064	16.962578	67.5191011235955	18.586033637735415	1.0090663	1.0090663	1.0090663	1.0090663	30046	2371818
6051.585623502731	79	70.29196	11.492318	110.754456	17.270643	64.05756929637526	13.896928349309341	1.0973247	1.0973247	1.0973247	1.0973247	30043	2401861
6116.915664672852	80	78.05383	12.124791	139.62157	36.97602	69.88837209302325	16.16460689143321	1.1168357	1.1168357	1.1168357	1.1168357	30052	2431913
6196.658201932907	81	64.78016	9.047158	93.38472	40.526623	58.10831721470019	11.303782615724382	1.1148173	1.1148173	1.1148173	1.1148173	30042	2461955
6269.449014902115	82	47.751183	6.813302	70.26231	27.219862	43.78717201166181	7.112888879519663	1.0905291	1.0905291	1.0905291	1.0905291	30038	2491993
6337.414597272873	83	34.73464	7.764995	56.44711	15.5684595	31.593684210526316	5.303143269029789	1.0994171	1.0994171	1.0994171	1.0994171	30014	2522007
6410.117947340012	84	49.577732	8.741897	91.12834	24.888247	54.97985347985348	21.844387146252963	0.9017436	0.9017436	0.9017436	0.9017436	30019	2552026
6488.291752815247	85	45.704964	14.306815	87.75716	13.93788	72.20673076923077	34.497638616017774	0.63297373	0.63297373	0.63297373	0.63297373	30038	2582064
6553.126316070557	86	32.613102	13.9411335	74.43326	11.946951	49.298850574712645	27.4512737207636	0.66153884	0.66153884	0.66153884	0.66153884	30023	2612087
6632.183058977127	87	24.25858	10.376524	58.3119	12.22108	33.13134657836645	17.372219384825218	0.7321942	0.7321942	0.7321942	0.7321942	30017	2642104
6705.5715436935425	88	23.216253	8.204401	48.962326	12.091012	29.25243664717349	10.935733712948954	0.79365194	0.79365194	0.79365194	0.79365194	30013	2672117
6787.854850769043	89	23.843632	8.704908	44.761932	9.601712	31.896918172157278	11.871925512295794	0.74752146	0.74752146	0.74752146	0.74752146	30015	2702132
6858.933181285858	90	21.800243	6.20583	39.301193	9.847378	28.876923076923077	7.8517664691705225	0.7549365	0.7549365	0.7549365	0.7549365	30032	2732164
6931.897042274475	91	20.209862	2.2623644	38.44014	14.0920315	24.091492776886035	2.420745315801875	0.8388796	0.8388796	0.8388796	0.8388796	30018	2762182
7008.874988794327	92	21.185741	2.304749	43.184345	15.63999	23.294254658385093	3.9442423526440846	0.90948355	0.90948355	0.90948355	0.90948355	30003	2792185
7096.136163234711	93	21.387333	1.9225392	37.841293	16.713924	22.839421613394215	3.5482237673111676	0.93642175	0.93642175	0.93642175	0.93642175	30011	2822196
7179.069590330124	94	22.393618	1.6524227	36.829205	16.905027	22.473053892215567	2.2261762584356557	0.9964653	0.9964653	0.9964653	0.9964653	30024	2852220
7255.085130691528	95	21.692543	1.6180729	27.014404	15.317537	21.406562054208273	1.535193331698905	1.0133595	1.0133595	1.0133595	1.0133595	30012	2882232
7330.374186754227	96	20.221651	1.5895997	25.79116	15.51192	20.85406532314107	1.5576379807657912	0.96967435	0.96967435	0.96967435	0.96967435	30009	2912241
7408.916034698486	97	19.716665	1.3073822	24.21497	15.670717	21.69342010122921	1.2001476538833085	0.9088777	0.9088777	0.9088777	0.9088777	30002	2942243
7486.917135715485	98	18.909845	2.039103	36.09284	13.699396	20.998600419874037	3.474187249915235	0.90052885	0.90052885	0.90052885	0.90052885	30007	2972250
7556.187335252762	99	15.646421	1.2606728	29.95073	10.553431	19.666448230668415	1.6761416854819007	0.7955895	0.7955895	0.7955895	0.7955895	30011	3002261
