Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.307339906692505	0	-0.4286022	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409629	-0.020409629	-0.011506158	-0.011506158	1008	1008
3.149317979812622	1	-0.4069384	0.08679622	-0.22472338	-0.6902346	21.0	0.0	-0.019378021	-0.019378021	-0.009843452	-0.009843452	1008	2016
3.964494228363037	2	-0.42609015	0.09751602	-0.18845241	-0.6954155	21.0	0.0	-0.020290006	-0.020290006	-0.008814545	-0.008814545	1008	3024
4.859055757522583	3	-0.4262357	0.081921615	-0.24502745	-0.6281058	21.0	0.0	-0.02029694	-0.02029694	-0.0092631765	-0.0092631765	1008	4032
5.848268032073975	4	-0.42493215	0.08539273	-0.26313022	-0.63546205	21.0	0.0	-0.020234862	-0.020234862	-0.008365207	-0.008365207	1008	5040
6.7594990730285645	5	-0.3990368	0.06875948	-0.2900327	-0.57326937	21.0	0.0	-0.019001752	-0.019001752	-0.004292855	-0.004292855	1008	6048
7.83885383605957	6	-0.41758037	0.100457214	-0.18165956	-0.6607025	21.0	0.0	-0.019884782	-0.019884782	-0.0063331616	-0.0063331616	1008	7056
8.92774248123169	7	-0.41002437	0.096086204	-0.19312628	-0.6442774	21.0	0.0	-0.01952497	-0.01952497	-0.0032340211	-0.0032340211	1008	8064
10.04539155960083	8	-0.43738624	0.12013931	-0.24945323	-0.7947113	21.0	0.0	-0.020827914	-0.020827914	-0.0024355182	-0.0024355182	1008	9072
11.286082983016968	9	-0.4532582	0.105811104	-0.21794096	-0.7464332	21.0	0.0	-0.021583723	-0.021583723	-0.0016995571	-0.0016995571	1008	10080
12.527909517288208	10	-0.43638673	0.10391472	-0.27171907	-0.75094944	21.0	0.0	-0.020780321	-0.020780321	-0.00029096793	-0.00029096793	1008	11088
13.745340585708618	11	-0.44525075	0.100646645	-0.30029094	-0.6918201	21.0	0.0	-0.021202417	-0.021202417	-0.0012181554	-0.0012181554	1008	12096
15.05921220779419	12	-0.43742308	0.095465705	-0.2808182	-0.7545639	21.0	0.0	-0.02082967	-0.02082967	-0.001485386	-0.001485386	1008	13104
16.358722448349	13	-0.49036303	0.10147523	-0.26084653	-0.7100752	21.0	0.0	-0.023350619	-0.023350619	-0.0012892584	-0.0012892584	1008	14112
17.684659719467163	14	-0.45447424	0.10388453	-0.2865778	-0.7179341	21.0	0.0	-0.021641629	-0.021641629	-0.0007683	-0.0007683	1008	15120
19.318852186203003	15	-0.4609377	0.10174513	-0.20256382	-0.7154571	21.0	0.0	-0.021949416	-0.021949416	-0.0014661677	-0.0014661677	1008	16128
20.96938180923462	16	-0.26307878	1.4124483	9.401231	-0.6771075	21.0	0.0	-0.012527557	-0.012527557	0.009316919	0.009316919	1008	17136
22.641414403915405	17	-0.043638248	2.8409626	19.423872	-0.6743944	21.0	0.0	-0.0020780128	-0.0020780128	0.018984132	0.018984132	1008	18144
24.323980808258057	18	0.13120036	4.2588267	29.323864	-0.68349314	21.0	0.0	0.006247638	0.006247638	0.029325606	0.029325606	1008	19152
