Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	3.6252682209014893	1000	2000	12.709145791607085	8.317663168531725	122	2000
1	6.963720083236694	1000	3000	12.709145791607085	1.6892991923115912	195	3000
2	10.265134572982788	1000	4000	12.709145791607085	2.250029051394085	264	4000
3	13.532016515731812	1000	5000	12.709145791607085	3.0394413375935985	333	5000
4	16.86356210708618	1000	6000	12.709145791607085	4.804551463463577	400	6000
5	20.20043706893921	1000	7000	12.709145791607085	5.229816596998717	469	7000
6	23.484621286392212	1000	8000	12.709145791607085	0.5232979553242334	540	8000
7	26.739825963974	1000	9000	12.709145791607085	4.712436967508983	608	9000
8	30.037721395492554	1000	10000	12.709145791607085	4.856741085088288	676	10000
9	33.37986087799072	1000	11000	21.93284568575036	8.336364155306365	739	11000
10	36.70831227302551	1000	12000	21.93284568575036	8.47113734835002	804	12000
11	40.00469160079956	1000	13000	21.93284568575036	8.33809445078077	867	13000
12	43.38235521316528	1000	14000	21.93284568575036	10.028598139889073	928	14000
13	46.727150440216064	1000	15000	21.93284568575036	7.479123709988198	990	15000
14	50.059950828552246	1000	16000	21.93284568575036	5.465431982978771	1053	16000
15	53.41496253013611	1000	17000	21.93284568575036	9.371412612451241	1115	17000
16	56.76718235015869	1000	18000	21.93284568575036	9.232191666594007	1176	18000
17	60.09187054634094	1000	19000	21.93284568575036	6.883728229151167	1237	19000
18	63.44099187850952	1000	20000	21.93284568575036	10.10664979957219	1297	20000
19	66.79442381858826	1000	21000	21.93284568575036	6.279853034397819	1354	21000
20	70.175856590271	1000	22000	21.93284568575036	8.764070852045549	1416	22000
21	73.58035135269165	1000	23000	21.93284568575036	11.369793092709733	1476	23000
22	76.91687059402466	1000	24000	21.93284568575036	9.782532921159872	1536	24000
23	80.317391872406	1000	25000	21.93284568575036	12.669130000383303	1594	25000
24	83.71492195129395	1000	26000	21.93284568575036	7.742154860067238	1653	26000
25	87.07285714149475	1000	27000	21.93284568575036	8.492770881432808	1711	27000
