Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	6.105701923370361	1000	2000	111.44907434850772	111.44907434850772	2	2000
1	11.820436716079712	1000	3000	134.02346185036586	-13.783738356355776	4	3000
2	17.51173996925354	1000	4000	134.02346185036586	-146.1891466672168	5	4000
3	23.161020278930664	1000	5000	134.02346185036586	128.7727584411754	6	5000
4	28.902647733688354	1000	6000	134.37738561284644	134.37738561284644	7	6000
5	34.95905327796936	1000	7000	134.37738561284644	132.8865464680581	8	7000
6	40.9023494720459	1000	8000	134.37738561284644	109.83571082551903	9	8000
7	46.68512582778931	1000	9000	134.37738561284644	83.10374399684807	10	9000
8	52.474804162979126	1000	10000	134.37738561284644	24.880388059823588	11	10000
9	58.29060959815979	1000	11000	134.37738561284644	62.38441662010147	12	11000
10	64.07886362075806	1000	12000	134.37738561284644	116.35993395246625	13	12000
11	69.90833687782288	1000	13000	134.37738561284644	-3.2294408286572445	15	13000
12	75.68787097930908	1000	14000	134.37738561284644	114.60324371611637	16	14000
13	81.58125114440918	1000	15000	159.06637602875279	159.06637602875279	17	15000
14	87.41098761558533	1000	16000	159.06637602875279	9.012872712104583	21	16000
15	93.27590990066528	1000	17000	159.06637602875279	63.020674091325716	22	17000
16	99.05858635902405	1000	18000	159.06637602875279	12.158226253978443	23	18000
17	104.92012119293213	1000	19000	176.72547052431045	176.72547052431045	24	19000
18	110.74500727653503	1000	20000	176.72547052431045	111.85391051738992	25	20000
19	116.51571989059448	1000	21000	176.72547052431045	110.16954047935587	26	21000
20	122.20951128005981	1000	22000	176.72547052431045	103.13769762188335	27	22000
21	127.87145805358887	1000	23000	176.72547052431045	18.233304265870597	28	23000
22	133.64644289016724	1000	24000	176.72547052431045	68.5545443603463	29	24000
23	139.35878539085388	1000	25000	176.72547052431045	83.13175046398977	30	25000
24	145.06449842453003	1000	26000	176.72547052431045	-150.31999033097824	31	26000
25	150.8376762866974	1000	27000	176.72547052431045	150.1061437144498	32	27000
26	156.653555393219	1000	28000	176.72547052431045	40.34650052077047	33	28000
27	162.47272419929504	1000	29000	176.72547052431045	82.27357883923685	34	29000
28	168.3084831237793	1000	30000	176.72547052431045	-7.076370903289356	35	30000
29	174.02793049812317	1000	31000	176.72547052431045	59.55789854280597	36	31000
30	179.78854608535767	1000	32000	176.72547052431045	171.64660721505732	37	32000
31	185.65195560455322	1000	33000	176.72547052431045	161.5326139356753	38	33000
32	191.43413162231445	1000	34000	176.72547052431045	101.41069799885311	39	34000
33	197.1830952167511	1000	35000	176.72547052431045	123.16011487378421	40	35000
34	202.96415400505066	1000	36000	176.72547052431045	65.87709174822233	41	36000
35	208.70143055915833	1000	37000	176.72547052431045	91.51828009590388	42	37000
36	214.46094036102295	1000	38000	176.72547052431045	35.315453983962634	44	38000
37	220.22130966186523	1000	39000	176.72547052431045	60.123802933366136	45	39000
38	225.960303068161	1000	40000	176.72547052431045	29.45965881906301	46	40000
39	231.7231707572937	1000	41000	176.72547052431045	7.382017637486699	47	41000
40	237.4902696609497	1000	42000	176.72547052431045	111.85284414960043	48	42000
41	243.3970971107483	1000	43000	176.72547052431045	132.00131266900274	49	43000
42	249.23796486854553	1000	44000	176.72547052431045	83.33707499644669	50	44000
43	255.10264444351196	1000	45000	176.72547052431045	107.59887308504706	51	45000
44	261.1516273021698	1000	46000	176.72547052431045	4.63768100615125	53	46000
45	266.94792103767395	1000	47000	176.72547052431045	76.37965601542963	54	47000
46	272.87743759155273	1000	48000	176.72547052431045	79.50758117809299	55	48000
47	278.8175423145294	1000	49000	178.1304282925527	178.1304282925527	56	49000
48	284.6240508556366	1000	50000	178.1304282925527	81.29545646188934	57	50000
49	290.42602586746216	1000	51000	178.1304282925527	11.96318110236456	58	51000
50	296.2341465950012	1000	52000	178.1304282925527	156.15859453802986	59	52000
51	302.16991233825684	1000	53000	178.1304282925527	114.4732117487757	60	53000
52	307.96107292175293	1000	54000	178.1304282925527	4.162808695803681	62	54000
53	313.77373361587524	1000	55000	178.1304282925527	81.77125694071434	63	55000
54	319.56309056282043	1000	56000	178.1304282925527	-1.1091675206975218	66	56000
55	325.4053957462311	1000	57000	178.1304282925527	85.45075800672612	67	57000
56	331.4324908256531	1000	58000	178.1304282925527	-2.653455644192582	70	58000
57	337.3082060813904	1000	59000	178.1304282925527	-145.02488897835582	71	59000
58	343.10921835899353	1000	60000	178.1304282925527	21.991175924541302	73	60000
59	348.8899531364441	1000	61000	178.1304282925527	60.82249182711238	74	61000
60	354.6249694824219	1000	62000	178.1304282925527	139.49251430793228	75	62000
61	360.3702754974365	1000	63000	201.04424694527728	201.04424694527728	76	63000
62	366.0965268611908	1000	64000	201.04424694527728	-3.155723546652009	78	64000
63	371.82348251342773	1000	65000	201.04424694527728	149.5234286676335	79	65000
64	377.5846800804138	1000	66000	201.04424694527728	3.0479063563019624	81	66000
65	383.3945026397705	1000	67000	201.04424694527728	-168.92954699490363	82	67000
66	389.1147110462189	1000	68000	201.04424694527728	78.85343935773292	83	68000
67	394.8957738876343	1000	69000	201.04424694527728	19.99430011466902	86	69000
68	400.636262178421	1000	70000	201.04424694527728	115.4799622010278	87	70000
69	406.43884444236755	1000	71000	201.04424694527728	135.6707033233993	88	71000
70	412.1709930896759	1000	72000	201.04424694527728	155.70702894490694	89	72000
71	418.52209758758545	1000	73000	201.04424694527728	93.48391985727635	90	73000
72	424.5599956512451	1000	74000	201.04424694527728	108.13247272063745	91	74000
73	430.4395890235901	1000	75000	201.04424694527728	73.76377720129388	92	75000
74	436.25269508361816	1000	76000	201.04424694527728	146.60624366094427	93	76000
75	442.0246479511261	1000	77000	201.04424694527728	-4.217357423217619	96	77000
76	447.85116052627563	1000	78000	201.04424694527728	64.10214638274341	97	78000
77	453.7450180053711	1000	79000	201.04424694527728	46.31166229634106	98	79000
78	459.6557743549347	1000	80000	201.04424694527728	-148.9512084485701	99	80000
79	465.35519433021545	1000	81000	201.04424694527728	-39.511178967813635	100	81000
80	470.9835696220398	1000	82000	201.04424694527728	183.63821274627838	101	82000
81	476.8801200389862	1000	83000	201.04424694527728	16.600064208632116	103	83000
82	482.6922209262848	1000	84000	201.04424694527728	-49.18177128335371	104	84000
83	488.5286269187927	1000	85000	201.04424694527728	50.579219798652026	105	85000
84	494.35927653312683	1000	86000	201.04424694527728	155.74687155193686	106	86000
85	500.1628770828247	1000	87000	201.04424694527728	114.80934264987013	107	87000
86	506.0817129611969	1000	88000	201.04424694527728	127.17541158844092	108	88000
87	511.97160601615906	1000	89000	201.04424694527728	164.3515940632468	109	89000
88	518.1416430473328	1000	90000	201.04424694527728	-41.523826299776516	110	90000
89	524.126190662384	1000	91000	201.04424694527728	6.501995549543066	112	91000
90	530.380402803421	1000	92000	201.04424694527728	114.48491514213661	113	92000
91	536.6607351303101	1000	93000	201.04424694527728	20.13763814523841	114	93000
92	542.9315626621246	1000	94000	201.04424694527728	81.50535017960503	115	94000
93	549.1532542705536	1000	95000	201.04424694527728	139.2130673774359	116	95000
94	555.3963394165039	1000	96000	201.04424694527728	37.37551826117122	117	96000
95	561.5631368160248	1000	97000	201.04424694527728	180.47101921913412	118	97000
96	567.5009908676147	1000	98000	201.04424694527728	50.36131623877024	119	98000
97	573.3804531097412	1000	99000	201.04424694527728	-187.205761121397	120	99000
98	579.3263256549835	1000	100000	201.04424694527728	19.798386159542133	122	100000
99	585.4265189170837	1000	101000	201.04424694527728	130.28396407300457	123	101000
100	591.5496397018433	1000	102000	201.04424694527728	112.85767250109211	124	102000
101	597.5858964920044	1000	103000	201.04424694527728	75.56717703043843	125	103000
102	603.4932663440704	1000	104000	201.04424694527728	154.88977398011906	127	104000
103	609.4324791431427	1000	105000	201.04424694527728	-1.190205221796401	128	105000
104	615.4656202793121	1000	106000	201.04424694527728	148.06703771488122	129	106000
105	621.5384798049927	1000	107000	201.04424694527728	123.32840680345682	130	107000
106	627.474205493927	1000	108000	201.04424694527728	47.7781368044336	131	108000
107	633.5859677791595	1000	109000	201.04424694527728	82.32302683014078	132	109000
108	639.4573216438293	1000	110000	201.04424694527728	99.76677704548054	133	110000
109	645.3626346588135	1000	111000	201.04424694527728	102.110979507734	134	111000
110	651.3112413883209	1000	112000	201.04424694527728	87.01630987883252	135	112000
111	657.5611038208008	1000	113000	201.04424694527728	145.84889287802213	136	113000
112	663.7579815387726	1000	114000	201.04424694527728	23.015392932370013	137	114000
113	669.8787362575531	1000	115000	201.04424694527728	100.76365287822716	138	115000
114	675.7682569026947	1000	116000	201.04424694527728	163.00942795747812	139	116000
115	681.885410785675	1000	117000	201.04424694527728	-136.5775749088293	140	117000
116	687.8600037097931	1000	118000	201.04424694527728	9.397598159653736	141	118000
117	693.9559962749481	1000	119000	201.04424694527728	71.14356151962863	142	119000
118	699.8260979652405	1000	120000	201.04424694527728	73.38189317917862	143	120000
119	705.7423706054688	1000	121000	201.04424694527728	130.63275909494993	144	121000
120	711.6312642097473	1000	122000	201.04424694527728	100.51546517343229	145	122000
121	717.5575041770935	1000	123000	201.04424694527728	124.66432708667277	146	123000
122	723.4516429901123	1000	124000	201.04424694527728	92.18418600809386	147	124000
123	729.4018523693085	1000	125000	201.04424694527728	93.82838795997085	148	125000
124	735.2726683616638	1000	126000	201.04424694527728	173.4551060607761	149	126000
125	741.4110088348389	1000	127000	201.04424694527728	164.54213925338397	150	127000
126	747.6413190364838	1000	128000	201.04424694527728	32.061576810634875	152	128000
127	753.9246609210968	1000	129000	201.04424694527728	127.44146961574724	153	129000
128	760.0576419830322	1000	130000	201.04424694527728	148.5069958292588	154	130000
129	766.365594625473	1000	131000	201.04424694527728	111.92431790914986	155	131000
130	772.5614204406738	1000	132000	201.04424694527728	32.85995076171534	157	132000
131	778.781060218811	1000	133000	201.04424694527728	126.3475057860093	158	133000
132	784.9163384437561	1000	134000	201.04424694527728	115.09511837198374	159	134000
133	790.789626121521	1000	135000	201.04424694527728	156.07253939227687	160	135000
134	797.0815885066986	1000	136000	201.04424694527728	-0.8840897155212957	161	136000
135	803.3108639717102	1000	137000	201.04424694527728	91.52773183002844	162	137000
136	809.4736075401306	1000	138000	201.04424694527728	20.65077904007334	163	138000
137	815.776496887207	1000	139000	201.04424694527728	-130.06230911174785	164	139000
138	821.8046636581421	1000	140000	201.04424694527728	59.83013627507751	165	140000
139	828.0392529964447	1000	141000	201.04424694527728	92.17718610522125	166	141000
140	834.2614688873291	1000	142000	201.04424694527728	101.23254015791608	167	142000
