Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
401.58328342437744	0	-17.161327	8.443212	5.6208625	-76.712715	20.697241379310345	6.290884975050986	-0.82916015	-0.82916015	-0.82916003	-0.82916003	-0.6936313	0.010580162	0.00010088981	3.1856664e-05	0.69364136	30011	30011
809.04039311409	1	-5.564931	4.1688557	7.2120423	-37.948185	17.692806603773583	4.877929226430986	-0.3145307	-0.3145307	-0.31434378	-0.31434378	-0.39033467	0.598912	1.3304288	0.49887004	0.52337754	30007	60018
1219.6165597438812	2	-2.9420447	7.2607083	24.879898	-26.624634	31.08592132505176	14.163708199065017	-0.09464235	-0.09464235	-0.09435755	-0.09435755	-0.15329537	0.44357002	1.4117674	0.37874132	0.2944721	30029	90047
1614.8108448982239	3	-2.313982	4.8457093	13.632893	-32.545635	25.118828451882845	5.574383006917423	-0.09212141	-0.09212141	-0.091915466	-0.091915466	-0.28894293	0.5840314	1.3365883	0.30734593	0.42260176	30017	120064
2026.1603121757507	4	-1.6416488	4.4065886	20.676743	-26.342768	22.73257575757576	4.664387910282991	-0.072215684	-0.072215684	-0.07206301	-0.07206301	-0.38607228	0.55254716	1.3592585	0.5007102	0.52199817	30007	150071
2446.7222895622253	5	1.421093	6.8462553	27.567701	-27.387148	27.011690647482013	8.760135343842041	0.052610293	0.052610293	0.052784603	0.052784603	-0.38408875	0.7317675	1.4207399	0.49397278	0.52616274	30037	180108
2848.4513132572174	6	2.8191757	7.5255346	30.384254	-20.872225	26.70373665480427	11.709576650146968	0.10557232	0.10557232	0.10568035	0.10568035	-0.39518383	0.5193402	1.4279456	0.4546661	0.53797835	30015	210123
3245.661337852478	7	4.298159	7.7864714	36.91755	-19.724709	28.231420507996237	15.399938624788602	0.15224737	0.15224737	0.15234606	0.15234606	-0.3752392	0.45626515	1.4159918	0.597229	0.5168383	30010	240133
3623.46954536438	8	7.311442	8.806738	37.10523	-17.642063	33.355555555555554	15.888508153946509	0.21919712	0.21919712	0.21929306	0.21929306	-0.46653557	0.503551	1.5150158	0.4842479	0.6180371	30020	270153
3971.520583629608	9	7.054718	7.365339	35.876835	-11.948678	33.67564534231201	12.357345880025072	0.20949021	0.20949021	0.20960091	0.20960091	-0.5010228	0.56267655	1.6175373	0.47778922	0.6627766	30005	300158
4186.16925239563	10	7.4344707	7.4349036	32.97888	-10.832466	31.860934182590235	10.392344805182717	0.23334126	0.23334126	0.23344305	0.23344305	-0.40179443	0.45768562	1.7591567	0.5413474	0.5777101	30013	330171
4502.51501083374	11	10.466966	8.501491	47.177494	-17.084412	33.767154105736786	13.151911625879585	0.30997473	0.30997473	0.31005156	0.31005156	-0.43989336	0.43667006	1.6171497	0.4052024	0.6016084	30019	360190
4894.3868288993835	12	14.76547	10.000904	46.07591	-15.37747	37.55193992490613	17.011944360656077	0.39320126	0.39320126	0.39331296	0.39331296	-0.3885031	0.48541105	1.5801064	0.42581058	0.54651374	30004	390194
