Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	4.61771035194397	1000	2000	12.709145791607085	-0.797241506272985	111	2000
1	8.664022445678711	1000	3000	12.709145791607085	-6.387586413082316	165	3000
2	12.761667013168335	1000	4000	12.709145791607085	-0.287615838435886	221	4000
3	16.84669041633606	1000	5000	12.709145791607085	0.45986296307237295	273	5000
4	21.047189712524414	1000	6000	13.153374689437625	3.2594376198656394	330	6000
5	25.230212450027466	1000	7000	13.153374689437625	4.978454758727458	383	7000
6	29.33131194114685	1000	8000	13.153374689437625	-4.548278476233827	436	8000
7	33.526793003082275	1000	9000	13.153374689437625	-1.5082859899834153	489	9000
8	37.8078248500824	1000	10000	13.213839870841182	-4.676045533744037	545	10000
9	42.01344275474548	1000	11000	13.213839870841182	0.16964899372833275	597	11000
10	46.305713415145874	1000	12000	17.852343972043315	3.541341470583575	649	12000
11	50.49725079536438	1000	13000	17.852343972043315	5.439537544646014	702	13000
12	54.68575096130371	1000	14000	17.852343972043315	4.719155250194309	756	14000
13	58.83656597137451	1000	15000	17.852343972043315	-16.129222906086945	806	15000
14	63.03984570503235	1000	16000	17.852343972043315	-0.6163327162779755	861	16000
15	67.29000973701477	1000	17000	17.852343972043315	2.166379652736941	917	17000
16	71.6766459941864	1000	18000	17.852343972043315	0.5195184175739995	968	18000
17	75.96249675750732	1000	19000	17.852343972043315	2.057743214086804	1020	19000
18	80.04187440872192	1000	20000	17.852343972043315	-2.026312336660339	1076	20000
19	84.10201835632324	1000	21000	17.852343972043315	-4.363436160217679	1129	21000
20	88.27775073051453	1000	22000	17.852343972043315	0.39269117534422504	1183	22000
21	92.54368996620178	1000	23000	17.852343972043315	1.3387427579349598	1238	23000
22	97.25186848640442	1000	24000	17.852343972043315	-1.3643004914716583	1290	24000
23	101.82745146751404	1000	25000	17.852343972043315	8.371946800367732	1344	25000
24	106.37172555923462	1000	26000	17.852343972043315	0.4098791241907751	1397	26000
25	110.97433614730835	1000	27000	17.852343972043315	-0.888100549161027	1452	27000
26	115.49739074707031	1000	28000	17.852343972043315	0.905701222346396	1502	28000
27	120.11363959312439	1000	29000	17.852343972043315	1.7266658069303955	1557	29000
28	124.44350576400757	1000	30000	17.852343972043315	-1.5243067946066735	1611	30000
29	128.81226539611816	1000	31000	17.852343972043315	-1.3502357264922464	1667	31000
30	133.0564501285553	1000	32000	17.852343972043315	-0.9441619629389604	1719	32000
31	137.51342797279358	1000	33000	17.852343972043315	-5.835937962618483	1772	33000
32	142.00517868995667	1000	34000	17.852343972043315	8.502322739017835	1824	34000
33	146.72441291809082	1000	35000	17.852343972043315	-7.776922897651094	1877	35000
34	151.15604281425476	1000	36000	17.852343972043315	-3.708182910976757	1929	36000
35	155.78330659866333	1000	37000	17.852343972043315	-3.539952726398769	1983	37000
36	160.3962824344635	1000	38000	17.852343972043315	1.6256077314450526	2035	38000
37	164.7746937274933	1000	39000	17.852343972043315	0.7047707064950377	2090	39000
38	169.14112639427185	1000	40000	17.852343972043315	3.510798613862425	2141	40000
39	173.366286277771	1000	41000	17.852343972043315	-2.8159287384958587	2193	41000
40	177.69903302192688	1000	42000	17.852343972043315	4.326706968396319	2249	42000
41	182.07181477546692	1000	43000	17.852343972043315	2.1124949881297654	2301	43000
42	186.3511221408844	1000	44000	17.852343972043315	7.042932249717705	2356	44000
43	190.68538665771484	1000	45000	17.852343972043315	-2.110279055382126	2411	45000
44	195.09753823280334	1000	46000	17.852343972043315	3.3479841525448135	2464	46000
45	199.7630627155304	1000	47000	17.852343972043315	3.910535523420547	2516	47000
46	204.36365818977356	1000	48000	17.852343972043315	1.9677851587257478	2571	48000
47	209.04913520812988	1000	49000	17.852343972043315	-0.37732411744509653	2625	49000
48	213.64668583869934	1000	50000	17.852343972043315	-7.1758833278494425	2676	50000
49	218.16349077224731	1000	51000	17.852343972043315	6.182766507970518	2728	51000
50	222.65780758857727	1000	52000	17.852343972043315	-2.019750028924318	2783	52000
51	227.26779556274414	1000	53000	17.852343972043315	-13.153891144529918	2835	53000
52	231.7265076637268	1000	54000	17.852343972043315	1.0132544161431731	2889	54000
53	236.03719973564148	1000	55000	17.852343972043315	5.064502620074199	2943	55000
54	240.4538676738739	1000	56000	17.852343972043315	0.7700631973042618	2997	56000
55	244.938547372818	1000	57000	17.852343972043315	-3.8979183187169832	3053	57000
56	249.2815384864807	1000	58000	17.852343972043315	11.318171784834702	3106	58000
