Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	3.7231762409210205	1000	2000	12.709145791607085	-214.80522314961706	111	2000
1	7.121604919433594	1000	3000	12.709145791607085	-188.90100425517593	166	3000
2	10.539348125457764	1000	4000	12.709145791607085	-210.2719417532906	227	4000
3	13.910953044891357	1000	5000	12.709145791607085	-137.6825612818866	282	5000
4	17.359333515167236	1000	6000	12.709145791607085	-234.2524348521736	344	6000
5	20.76767659187317	1000	7000	12.709145791607085	-271.66290871886156	407	7000
6	24.35939049720764	1000	8000	12.709145791607085	-199.81444245795427	466	8000
7	27.918703317642212	1000	9000	12.709145791607085	-417.7672048113222	524	9000
8	31.38714361190796	1000	10000	12.709145791607085	-281.7238521210311	584	10000
9	34.906718730926514	1000	11000	12.709145791607085	-300.75991933196497	646	11000
10	38.44931244850159	1000	12000	12.709145791607085	-214.98207835679494	705	12000
11	41.839558839797974	1000	13000	12.709145791607085	-446.5858843083551	766	13000
12	45.29495620727539	1000	14000	12.709145791607085	-404.6680699094184	828	14000
13	48.782591819763184	1000	15000	12.709145791607085	-268.69698541047546	886	15000
14	52.14511680603027	1000	16000	12.709145791607085	-438.660104427312	948	16000
15	55.56911253929138	1000	17000	12.709145791607085	-268.3791544848864	1008	17000
16	58.96613907814026	1000	18000	12.709145791607085	-418.4296169526482	1068	18000
17	62.36309242248535	1000	19000	12.709145791607085	-262.62391050084113	1131	19000
18	65.83169555664062	1000	20000	12.709145791607085	-345.556302022627	1194	20000
